S_GES,U_GES,T
59.8,26.6,13.6
70.8,17.7,11.5
66,20,13
87,6.8,6.5
65,22,12
79,8.4,13
72.9,18.2,8.9
77.3,15.8,6.9
79.2,16.2,4.6
92.1,7.4,0.5
42.1119,44.9258,12.9624
39.7258,47.1333,13.1409
39.6146,47.1354,13.25
40.1519,49.0852,10.7629
90.5,8.4,1.1
89.7,8.4,1.7
67.6,24.5,7.8
52.2,38.4,9.4
37.7,42.7,19.6
49.1,35.6,15.3
62.4,23.4,14.2
73.7,23.200000000000003,2.3
66.7,32.4,0.9
85.1,13.6,1.3
59,27,14
43,44,13
37,36,27
48,38,15
43,44,12
89.6,3.5,6.9
94.8,4.2,1
86.2,10.2,3.6
82.9,12.2,4.9
96.8,3.1,0.1
79,8.2,12.8
56.3,36.3,7.4
55.6,36.5,7.9
81.7,14,4.3
69.4,20.5,10.1
68.4,20.5,11.1
54.6,18.6,26.8
45.6,42.2,12.2
46,40.1,13.9
39.4,43.5,17.1
38.9,40.6,20.5
24,64,12
21,63,16
25,58,17
37,42,21
29.1,49.6,21.3
31.8,48.9,19.3
32.7,49.2,18.1
24.1,59.5,16.4
20.7,59.7,19.6
22.7,55.5,21.8
22.1,63.6,14.3
18.1,61.3,20.6
17.8,61.6,20.6
28.5,41.4,30.1
16.4,59.8,23.8
81.6,9.2,9.2
80.8,14.3,4.9
41.9,47.2,10.9
42.7,47.5,9.8
55.9,39.6,4.5
50.2,39.8,10
30.6,41.8,27.6
48.3,43.5,8.2
45.1,30,24.9
38.7,54.1,7.2
56.4,36.2,7.4
55.9,30.3,13.8
65.2,23.5,11.3
64.5,24.7,10.8
65.7,18.5,15.8
84.9,8.3,6.8
58,33,9.4
66,26,7.7
29.2,54.6,16.2
34,48.9,17.1
34.5,45.7,19.8
48.6,33.7,17.7
36,62,2
29.800000000000004,70.1,0.1
60.9,38.1,1
91,7.6,0.97
93,6.4,0.13
91,6.8,2.5
10.3,75.9,13.8
9.8,68.9,21.3
9.4,61,29.5
